line	category	action	context	note	text
865	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"恢复点"
869	UI	DICH	TERNARY	15 Vue components (render + setup)	"可以恢复"
869	UI	DICH	TERNARY	15 Vue components (render + setup)	"未创建"
876	UI	DICH	CALL:r.createStaticVNode#0	15 Vue components (render + setup)	"<section class=\"completion-checklist\"><div class=\"section-head compact-head\"><div><h3>本次已经完成</h3><p>专业组件已自动安装，无需额外配置。</p></div></div><div class=\"completion-item …[+559]"
886	UI	DICH	BINOP:+	15 Vue components (render + setup)	"内容已经写入，但有 "
886	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 项格式提醒"
893	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成没有中断，可以先检查并自动矫正标签。"
900	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"检查格式"
908	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"返回修改"
916	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"查看格式校验"
921	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"重新生成全部"
928	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"恢复生成前版本"
936	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"恢复操作会还原本次生成前的世界书、角色脚本、状态栏显示规则和角色卡状态。"
973	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"自动续传已完成 5 次"
977	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"内容仍未完整闭合。可以继续下一组 5 次，系统会携带全文并从断点续写。"
984	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"查看当前输出末尾"
992	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"已经生成的内容不会丢失"
996	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"停止后会停在当前阶段，可稍后重试；继续不会重写已经完成的前文。"
1005	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"停止当前阶段"
1010	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"再继续 5 次"
1067	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"创建一张空白角色卡"
1071	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"不需要先退出写卡器。创建完成后会自动打开这张卡，再继续一键生成。"
1081	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"关闭创建角色卡"
1101	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"角色卡名称"
1108	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"例如：玉藻前"
1126	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"这一步不会生成内容"
1130	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"只创建空白角色卡；世界书、人设和互动系统仍会在最终确认后写入。"
1144	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"取消"
1156	UI	DICH	TERNARY	15 Vue components (render + setup)	"正在创建..."
1156	UI	DICH	TERNARY	15 Vue components (render + setup)	"创建并打开角色卡"
1177	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"生成结果"
1214	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成格式检查"
1218	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"原始输出会完整保留；矫正只整理标签结构，不重新生成正文。"
1227	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"关闭格式检查"
1274	UI	DICH	TERNARY	15 Vue components (render + setup)	"通过"
1274	UI	DICH	TERNARY	15 Vue components (render + setup)	"${…} 项"
1304	UI	DICH	TERNARY	15 Vue components (render + setup)	"标签结构已通过"
1304	UI	DICH	TERNARY	15 Vue components (render + setup)	"检测到格式不匹配"
1311	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"当前结果已经按标准标签解析。"
1333	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"完整原始输出"
1337	UI	DICH	BINOP:+	15 Vue components (render + setup)	"首次输出 · "
1337	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 字符"
1354	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"矫正规则"
1358	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"支持双尖括号、全角尖括号、标签别名、缺失外层标签和未闭合标签；纯文本会完整保留并进入保底字段。"
1371	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"复制原始输出"
1378	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"关闭"
1390	UI	DICH	TERNARY	15 Vue components (render + setup)	"正在矫正..."
1390	UI	DICH	TERNARY	15 Vue components (render + setup)	"重新规范并解析"
1390	UI	DICH	TERNARY	15 Vue components (render + setup)	"校验并矫正"
1403	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"尚无生成结果"
1407	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"完成一次世界观、角色或独立人设生成后即可检查。"
1458	UI	DICH	OBJ_VALUE:natural	15 Vue components (render + setup)	"自然细腻的中文叙事。动作、环境、对话与潜台词保持平衡；人物主动但不替玩家作出关键决定，结尾留下自然的回应空间。"
1460	UI	DICH	OBJ_VALUE:novel	15 Vue components (render + setup)	"视觉小说式中文叙事。场景切换清晰，画面和人物表情具体，对话节奏鲜明；避免大段说明，用正在发生的事件带出设定。"
1462	UI	DICH	OBJ_VALUE:direct	15 Vue components (render + setup)	"简洁直接的中文叙事。减少背景铺陈，从角色正在面对的具体事件切入；快速建立冲突、目标或邀请，让玩家能够立即行动。"
1469	UI	DICH	CALL:a#1	15 Vue components (render + setup)	"从角色与玩家第一次需要真正回应彼此的具体场面开始。明确时间、地点和当前局势，让角色先采取一个符合人设的行动，并把下一步选择自然交给玩家。"
1482	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"设置第一幕"
1486	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"告诉玉藻想要的叙事质感与故事起点，生成后会自动写入角色卡第一条消息。"
1489	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"最后一步 · 生成前不会写入"
1503	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"文风捷径"
1504	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"新手可以直接选一个"
1517	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"自然细腻"
1518	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"动作与对话并重，留出互动空间"
1530	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"视觉小说"
1531	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"画面清晰、节奏明确、代入感强"
1543	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"直接入戏"
1544	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"少铺垫，尽快进入人物冲突"
1552	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"目标世界书"
1557	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 个角色会参与设定约束"
1571	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"想要的文风"
1578	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 字"
1586	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"例如：自然细腻的轻小说叙事，重视动作、环境与潜台词，不替玩家作决定。"
1597	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"也可以粘贴文风参考；系统只学习表达方式，不照搬其中情节。"
1609	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"开场大纲"
1616	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 字"
1625	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"写清时间、地点、在场人物、人物当前状态、正在发生的事情，以及希望玩家从哪里开始行动。"
1636	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"不需要写成小说，只要把起点说清楚，玉藻会扩写并留下可接话钩子。"
1648	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"准备生成"
1649	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"确认后才会创建恢复点，并开始分阶段生成与写入。"
1661	UI	DICH	CALL:r.createTextVNode#0	15 Vue components (render + setup)	"文风已设置"
1673	UI	DICH	CALL:r.createTextVNode#0	15 Vue components (render + setup)	"故事起点已设置"
1682	UI	DICH	CALL:r.createTextVNode#0	15 Vue components (render + setup)	"角色与世界观素材已保留"
1701	UI	DICH	TERNARY	15 Vue components (render + setup)	"处理中..."
1701	UI	DICH	TERNARY	15 Vue components (render + setup)	"检查并开始生成"
1708	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"返回修改素材"
1721	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"人设生成模式"
1767	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"只生成人设"
1771	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"把零散想法整理成可以直接复制的人设，不会修改当前角色卡。"
1785	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	" 普通调色盘 "
1796	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	" 多阶段调色盘 "
1807	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"只填人设信息即可：\n角色的底色、主色调、矛盾感、行为逻辑、关系触发、压力状态。\n如果选择多阶段调色盘，可以补充初识期、熟悉期、亲近期分别会怎样变化。"
1818	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"返回设置"
1829	UI	DICH	TERNARY	15 Vue components (render + setup)	"生成中..."
1829	UI	DICH	TERNARY	15 Vue components (render + setup)	"生成${…}"
1837	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"人设结果"
1849	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"复制"
1857	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"清空"
1866	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成提醒"
1902	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"等待开始"
1912	UI	DICH	TERNARY	15 Vue components (render + setup)	"普通调色盘"
1912	UI	DICH	TERNARY	15 Vue components (render + setup)	"多阶段调色盘"
1950	UI	DICH	TERNARY	15 Vue components (render + setup)	"流式保活"
1950	UI	DICH	TERNARY	15 Vue components (render + setup)	"截断续传"
1950	UI	DICH	TERNARY	15 Vue components (render + setup)	"稳定完整"
1973	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"确认生成与写入"
1977	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"开始前会自动保存恢复点。生成过程中会分阶段写入，失败后可以从当前步骤继续。"
1986	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"关闭执行检查"
2007	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"目标角色卡"
2011	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"目标世界书"
2015	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"有效角色"
2016	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 个"
2019	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"角色卡面"
2023	UI	DICH	TERNARY	15 Vue components (render + setup)	"将写入"
2023	UI	DICH	TERNARY	15 Vue components (render + setup)	"不修改"
2028	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"基础生成"
2032	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 次起"
2037	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"连接模式"
2042	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"将执行以下操作"
2048	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"保存当前角色卡、世界书、后台脚本和状态栏规则作为恢复点"
2055	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成并保存故事世界、完整人设和关系阶段"
2062	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"按文风与大纲生成第一幕，并写入角色卡第一条消息"
2069	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"安装互动状态、关系变量和状态栏显示能力"
2074	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"把当前选择的图片设置为角色卡面"
2082	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"查看专业组件"
2086	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"世界书条目、调色盘、二次解释、EJS 多阶段人设、MVU、ZOD 变量结构和角色局部正则。"
2097	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"不会修改手写内容"
2101	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"只更新本写卡器标记的旧条目；长素材蒸馏或截断续传可能增加调用次数。"
2110	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"返回检查"
2117	UI	DICH	TERNARY	15 Vue components (render + setup)	"正在启动..."
2117	UI	DICH	TERNARY	15 Vue components (render + setup)	"确认并开始生成"
2166	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"恢复生成前版本？"
2170	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"这会撤销本次一键生成写入的内容，但不会删除你填写的草稿。"
2179	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"关闭恢复确认"
2203	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"将恢复以下内容"
2205	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成前的世界书内容与绑定关系"
2206	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成前的角色卡字段与卡面"
2207	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成前的后台互动脚本与状态栏规则"
2213	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"恢复点时间"
2220	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"保留当前版本"
2231	UI	DICH	TERNARY	15 Vue components (render + setup)	"正在恢复..."
2231	UI	DICH	TERNARY	15 Vue components (render + setup)	"确认恢复生成前版本"
2260	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"生成连接模式"
2304	UI	DICH	TERNARY	15 Vue components (render + setup)	"原生流式返回，适合需要持续连接保活的接口；截断后停在当前阶段。"
2306	UI	DICH	TERNARY	15 Vue components (render + setup)	"保留已收到内容，检测标签未闭合时从断点自动续写，每组最多 5 次。"
2307	UI	DICH	TERNARY	15 Vue components (render + setup)	"等待模型一次性完整返回，默认推荐，操作最简单。"
2322	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"配置写卡工程"
2326	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"确认要写入的角色，然后选择一键生成、高级编辑或只整理人设。"
2342	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"项目环境"
2343	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"写入目标与角色卡面"
2357	UI	DICH	TERNARY	15 Vue components (render + setup)	"已连接"
2357	UI	DICH	TERNARY	15 Vue components (render + setup)	"需要检查"
2357	UI	DICH	TERNARY	15 Vue components (render + setup)	"需要角色卡"
2385	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"还没有目标角色卡"
2389	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"可以直接创建一张空白卡，写卡器会自动打开它，不必先退出。"
2402	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	" 创建空白角色卡 "
2409	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"当前角色"
2425	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"世界书名称"
2443	UI	DICH	OBJ_VALUE:placeholder	15 Vue components (render + setup)	"不要带 emoji"
2452	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"角色卡面"
2476	UI	DICH	TERNARY	15 Vue components (render + setup)	"选择角色卡面"
2483	UI	DICH	TERNARY	15 Vue components (render + setup)	"生成完成后写入当前角色"
2483	UI	DICH	TERNARY	15 Vue components (render + setup)	"PNG、JPG、WEBP，可暂时留空"
2488	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"浏览文件"
2494	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成连接"
2498	UI	DICH	LogicalExpression	15 Vue components (render + setup)	"正在读取 API"
2500	UI	DICH	LogicalExpression	15 Vue components (render + setup)	"正在读取模型"
2506	UI	DICH	LogicalExpression	15 Vue components (render + setup)	"状态未知"
2518	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	" 稳定完整 "
2530	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	" 流式保活 "
2542	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	" 截断续传 "
2559	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	" 清空当前草稿 "
2581	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"选择工作流"
2582	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"第一次使用建议选择一键生成"
2599	UI	DICH	CALL:r.createStaticVNode#0	15 Vue components (render + setup)	"<span class=\"workflow-icon\"><svg viewBox=\"0 0 24 24\" aria-hidden=\"true\"><path d=\"M5 4h14v16H5z\"></path><path d=\"M8 8h8M8 12h8M8 16h5\"></path></svg></span><span  …[+148]"
2603	UI	DICH	TERNARY	15 Vue components (render + setup)	"处理中"
2603	UI	DICH	TERNARY	15 Vue components (render + setup)	"进入"
2621	UI	DICH	CALL:r.createStaticVNode#0	15 Vue components (render + setup)	"<span class=\"workflow-icon advanced-icon\"><svg viewBox=\"0 0 24 24\" aria-hidden=\"true\"><path d=\"M4 7h10M18 7h2M4 17h2M10 17h10M14 4v6M6 14v6\"></path></svg></span …[+201]"
2640	UI	DICH	CALL:r.createStaticVNode#0	15 Vue components (render + setup)	"<span class=\"workflow-icon secondary-icon\"><svg viewBox=\"0 0 24 24\" aria-hidden=\"true\"><path d=\"M9 3h6m-5 0v5l-5 9a2 2 0 0 0 1.8 3h10.4A2 2 0 0 0 19 17l-5-9V3\"> …[+241]"
2652	UI	DICH	CALL:r.createStaticVNode#0	15 Vue components (render + setup)	"<section class=\"tool-panel pipeline-overview-panel\"><div class=\"tool-panel-head compact-panel-head\"><div><span class=\"panel-index\">03</span><div><h3>完整写卡流程</h3> …[+540]"
2735	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成进度"
2742	UI	DICH	BINOP:+	15 Vue components (render + setup)	"生成次数 "
2761	UI	DICH	OBJ_VALUE:aria-label	15 Vue components (render + setup)	"生成进度"
2788	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"生成提醒"
2796	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"查看原始输出"
2817	UI	DICH	BINOP:+	15 Vue components (render + setup)	"另有 "
2817	UI	DICH	BINOP:+	15 Vue components (render + setup)	" 项提醒，可在原始输出中查看。"
2828	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"这一阶段没有完成"
2832	UI	DICH	CALL:r.createElementVNode#2	15 Vue components (render + setup)	"已经完成的内容仍然保留。可以重试当前阶段，或撤销本次生成并回到开始前。"
2886	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	" 重新生成此阶段 "
2908	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"立即停止当前请求"
2921	UI	DICH	TERNARY	15 Vue components (render + setup)	"将在当前步骤后停止"
2921	UI	DICH	TERNARY	15 Vue components (render + setup)	"完成当前步骤后停止"
2932	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	"继续生成"
2939	UI	DICH	CALL:r.createElementBlock#2	15 Vue components (render + setup)	" 重新开始此阶段 "
2950	UI	DICH	TERNARY	15 Vue components (render + setup)	"保留当前进度并返回修改"
